ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,ctrl_log_10_HL,os_log_10_HL,rs_uniprot,group_3,rs_half_life,rs_log_10_HL
Q8R127,ctrl,18.68774583,1.271556919,Q00PI9,iso,1.688652691,1.271556919,0.227540337,Q8QZT1,CaNrf2-TG,28.32409205,1.452155997
Q8VE95,ctrl,18.67239149,1.271199944,P61750,iso,1.68915268,1.271199944,0.227668907,Q9CQC7,CaNrf2-TG,28.30674156,1.45188988
Q99MN9,ctrl,18.65706235,1.270843263,Q69ZN7,iso,1.693183953,1.270843263,0.228704144,P15327,CaNrf2-TG,28.23640136,1.450809346
P35486,ctrl,18.64175837,1.270486874,Q61702,iso,1.696216944,1.270486874,0.229481397,Q64516,CaNrf2-TG,28.09619507,1.44864751
Q60931,ctrl,18.64175837,1.270486874,Q3UW53,iso,1.699264986,1.270486874,0.230261109,P04919,CaNrf2-TG,28.09619507,1.44864751
Q8K4F5,ctrl,18.61097574,1.269769143,Q925F2,iso,1.705389857,1.269769143,0.231823676,Q04857,CaNrf2-TG,28.02689609,1.447575003
P54731,ctrl,18.58054364,1.269058417,P28352,iso,1.713105142,1.269058417,0.233784019,Q9DB15,CaNrf2-TG,27.78701866,1.443841953
P63038,ctrl,18.51997704,1.267640444,P28665,iso,1.713621836,1.267640444,0.233914988,P63038,CaNrf2-TG,27.75252965,1.443302575
Q9WUR2,ctrl,18.41493021,1.265170077,Q8VBT1,iso,1.713623954,1.265170077,0.233915524,P51174,CaNrf2-TG,27.75252965,1.443302575
P19783,ctrl,18.40735024,1.264991276,O70362,iso,1.717768764,1.264991276,0.234964701,Q99LB2,CaNrf2-TG,27.75252965,1.443302575
Q9CR21,ctrl,18.31106833,1.262713683,O89103,iso,1.72350501,1.262713683,0.23641255,Q8BWT1,CaNrf2-TG,27.58465379,1.440667538
Q8CG76,ctrl,18.28160835,1.262014401,Q9Z0P5,iso,1.730333014,1.262014401,0.238129694,Q78IK2,CaNrf2-TG,27.35171575,1.436984574
Q60930,ctrl,18.25224301,1.261316242,Q7TMW6,iso,1.732443503,1.261316242,0.238659081,Q9Z2I9,CaNrf2-TG,27.31883656,1.4364622
Q8BIJ6,ctrl,18.10682011,1.257842187,Q9ER00,iso,1.740410455,1.257842187,0.240651684,Q8BW75,CaNrf2-TG,27.28603632,1.435940453
Q91ZA3,ctrl,18.04929773,1.256460309,P19096,iso,1.740941568,1.256460309,0.240784195,P19246,CaNrf2-TG,27.2046462,1.434643082
