ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,os_log_10_HL
Q9JHS3,ctrl,3.38879335,0.530045086,Q499X9,iso,8.717681068,0.940400977
P17879,ctrl,3.384755624,0.529527319,Q9DB15,iso,8.727724859,0.940901047
P56394,ctrl,3.384755624,0.529527319,P40142,iso,8.727779806,0.940903781
Q9EQK5,ctrl,3.376708971,0.528493632,P56375,iso,8.734433587,0.941234747
O35566,ctrl,3.372683563,0.527975596,Q8VDG5,iso,8.741152636,0.941568704
P51125,ctrl,3.35971994,0.526303077,P70349,iso,8.751305859,0.942072863
O88746,ctrl,3.356742475,0.525918024,Q8VCA8,iso,8.754621794,0.942237389
Q62147,ctrl,3.355003996,0.525693042,Q91VF2,iso,8.754621794,0.942237389
B2RQC6,ctrl,3.35278072,0.52540515,Q9JI91,iso,8.774903542,0.943242351
Q9JHJ0,ctrl,3.350803348,0.525148941,Q8K199,iso,8.781685023,0.943577856
Q922Y1,ctrl,3.344869059,0.524379121,Q8BK72,iso,8.78853271,0.943916373
Q8BK64,ctrl,3.338979879,0.523613802,Q9D6Y7,iso,8.822707354,0.945601874
Q62448,ctrl,3.333095372,0.522847741,Q01768,iso,8.829506717,0.945936441
E9Q557,ctrl,3.327239556,0.522084071,P53026,iso,8.836429216,0.946276803
Q91YS8,ctrl,3.323339129,0.521574661,Q60994,iso,8.836429216,0.946276803
P23116,ctrl,3.305927374,0.519293309,O54724,iso,8.864001388,0.947629815
P60335,ctrl,3.305927374,0.519293309,Q9CYH2,iso,8.864001388,0.947629815
B1AY13,ctrl,3.30208459,0.518788195,Q9CZW5,iso,8.864001388,0.947629815
Q3B7Z2,ctrl,3.298250731,0.518283667,O35900,iso,8.905683788,0.949667271
Q99K51,ctrl,3.298250731,0.518283667,Q8C7H1,iso,8.905683788,0.949667271
P46737,ctrl,3.296329299,0.518030591,P05201,iso,8.912668997,0.950007778
Q6A0D4,ctrl,3.286786796,0.516771534,P19123,iso,8.919665173,0.950348552
