mouse_group,half_life,condition,,,,,,,,,,,,,,,,,,,,,,,
CEJ,23.3339678,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,21.41921389,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,9.74643804,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,10.38360519,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,26.53702835,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,20.86849859,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,20.75415236,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,17.66993004,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,15.44686517,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,18.26691388,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,21.00350531,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,18.93715403,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,17.56070027,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,6.779210733,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,19.64090506,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,7.460575844,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,16.38258522,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,22.54613758,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,14.72588019,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,17.52695317,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,17.04655896,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,6.548545602,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,4.092140275,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,3.631533568,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,19.39795653,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
